,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
252,Toronto,1499000,6,2,Ontario,5647656,43.7417,-79.3733,97000
253,Toronto,799888,1,1,Ontario,5647656,43.7417,-79.3733,97000
254,Toronto,850900,2,1,Ontario,5647656,43.7417,-79.3733,97000
255,Toronto,740900,2,2,Ontario,5647656,43.7417,-79.3733,97000
256,Toronto,685000,3,2,Ontario,5647656,43.7417,-79.3733,97000
257,Toronto,1029000,4,4,Ontario,5647656,43.7417,-79.3733,97000
258,Toronto,1250000,6,2,Ontario,5647656,43.7417,-79.3733,97000
259,Toronto,509990,2,1,Ontario,5647656,43.7417,-79.3733,97000
260,Toronto,928000,2,2,Ontario,5647656,43.7417,-79.3733,97000
261,Toronto,799900,2,2,Ontario,5647656,43.7417,-79.3733,97000
262,Toronto,2080000,4,3,Ontario,5647656,43.7417,-79.3733,97000
263,Toronto,1050000,2,2,Ontario,5647656,43.7417,-79.3733,97000
264,Toronto,915900,2,2,Ontario,5647656,43.7417,-79.3733,97000
265,Toronto,1650000,3,3,Ontario,5647656,43.7417,-79.3733,97000
266,Toronto,499800,2,1,Ontario,5647656,43.7417,-79.3733,97000
267,Toronto,1199900,3,3,Ontario,5647656,43.7417,-79.3733,97000
268,Toronto,849000,2,2,Ontario,5647656,43.7417,-79.3733,97000
269,Toronto,718000,2,1,Ontario,5647656,43.7417,-79.3733,97000
270,Toronto,818000,2,2,Ontario,5647656,43.7417,-79.3733,97000
271,Toronto,685000,1,1,Ontario,5647656,43.7417,-79.3733,97000
272,Toronto,1039000,2,3,Ontario,5647656,43.7417,-79.3733,97000
273,Toronto,738000,2,2,Ontario,5647656,43.7417,-79.3733,97000
274,Toronto,799000,2,2,Ontario,5647656,43.7417,-79.3733,97000
275,Toronto,929000,4,3,Ontario,5647656,43.7417,-79.3733,97000
276,Toronto,1090000,4,2,Ontario,5647656,43.7417,-79.3733,97000
277,Toronto,979000,3,3,Ontario,5647656,43.7417,-79.3733,97000
278,Toronto,1099000,4,3,Ontario,5647656,43.7417,-79.3733,97000
279,Toronto,948800,4,3,Ontario,5647656,43.7417,-79.3733,97000
280,Toronto,2379000,6,7,Ontario,5647656,43.7417,-79.3733,97000
281,Toronto,839999,2,2,Ontario,5647656,43.7417,-79.3733,97000
282,Toronto,1795000,3,1,Ontario,5647656,43.7417,-79.3733,97000
283,Toronto,739000,2,2,Ontario,5647656,43.7417,-79.3733,97000
284,Toronto,839999,2,2,Ontario,5647656,43.7417,-79.3733,97000
285,Toronto,649800,2,2,Ontario,5647656,43.7417,-79.3733,97000
286,Toronto,549000,1,1,Ontario,5647656,43.7417,-79.3733,97000
287,Toronto,1149900,2,3,Ontario,5647656,43.7417,-79.3733,97000
288,Toronto,12750000,4,7,Ontario,5647656,43.7417,-79.3733,97000
289,Toronto,699800,2,1,Ontario,5647656,43.7417,-79.3733,97000
290,Toronto,3798000,5,5,Ontario,5647656,43.7417,-79.3733,97000
291,Toronto,699900,2,2,Ontario,5647656,43.7417,-79.3733,97000
292,Toronto,1250000,4,3,Ontario,5647656,43.7417,-79.3733,97000
293,Toronto,1449000,5,4,Ontario,5647656,43.7417,-79.3733,97000
